BSPO	Andrew Heaney	TEX	SP	1	590.7	0
FRY	Alexis Diaz	CIN	RP	5	583.3	0
FSPY	Edward Cabrera	MIA	SP	7	582.7	0
BSPY	MacKenzie Gore	WSH	SP	2	581.2	0
ERO	Josh Hader	HOU	RP	5	579.2	0
FRO	Sean Manaea	NYM	SP,RP	4	575.0	0
BSPO	Jameson Taillon	CHC	SP	1	574.7	0
BSPY	Graham Ashcraft	CIN	SP	2	573.7	0
FSPO	Walker Buehler	LAD	SP	2	571.1	0
FSPO	Aaron Civale	TB	SP	2	569.5	0
FSPO	Michael Lorenzen	(N/A)	SP	2	561.9	0
FRO	Clay Holmes	NYY	RP	4	557.5	0
BSPO	Tyler Anderson	LAA	SP	1	556.6	0
SSPO	Carlos Rodon	NYY	SP	4	551.9	0
FSPY	Jordan Wicks	CHC	SP	7	551.6	0
ERO	Devin Williams	MIL	RP	5	550.9	0
FSPO	Shota Imanaga	CHC	SP	2	550.0	0
BSPY	Cristopher Sanchez	PHI	SP	2	549.7	0
BSPO	Nestor Cortes Jr.	NYY	SP	1	548.1	0
FSPY	Reese Olson	DET	SP	7	546.0	0
ERY	Jhoan Duran	MIN	RP	7	545.3	0
BSPO	Wade Miley	MIL	SP	1	540.7	0
FSPY	Brandon Pfaadt	ARI	SP	7	538.6	0
BSPY	Keaton Winn	SF	SP	2	536.8	0
FSPO	Kyle Hendricks	CHC	SP	2	533.7	0
FSPO	Alex Wood	OAK	SP,RP	2	532.7	0
FSPO	Erick Fedde	CHW	SP	2	531.6	0
FRO	Craig Kimbrel	BAL	RP	4	530.9	0
FRY	Ryan Helsley	STL	RP	5	530.6	0
ERY	David Bednar	PIT	RP	7	530.0	0
BSPY	Chase Silseth	LAA	SP,RP	2	527.4	0
FSPO	Michael Wacha	KC	SP	2	527.4	0
FSPY	Shane Baz	TB	SP	7	521.7	0
FRO	Jordan Romano	TOR	RP	4	521.7	0
BSPO	Mike Clevinger	(N/A)	SP	1	519.6	0
FRO	Paul Sewald	ARI	RP	4	517.3	0
FRY	Yennier Cano	BAL	RP	5	516.4	0
FRY	Evan Phillips	LAD	RP	5	507.0	0
BSPO	Cal Quantrill	COL	SP	1	506.5	0
FRY	Andres Munoz	SEA	RP	5	505.7	0
BRY	Adbert Alzolay	CHC	RP	3	505.6	0
ERY	Edwin Diaz	NYM	RP	7	500.2	0
ERY	Bryan Abreu	HOU	RP	7	496.0	0
BSPY	Alek Manoah	TOR	SP	2	495.9	0
